Shutter_Speed,Max_Pixel_Luminance,ZIP_File,Light_Source_Pattern,Reference_Pattern,Luminance at 0.062,Luminance at 0.059,Luminance at 0.056,Luminance at 0.052,Luminance at 0.043,Luminance at 0.097,Luminance at 0.063,Luminance at 0.001,Luminance at 0.2,Luminance at 0.1,Luminance at 2.0,Luminance at 0.37,Luminance at 0.626,Luminance at 0.7,Luminance at 0.149,Luminance at 0.129,Luminance at 0.106,Luminance at 0.095,Luminance at 0.376,Luminance at 0.433,Luminance at 0.529,Luminance at 0.515,Adjusted_Alpha,Luminance at 0.504
0.00015625,0.1289035294117647,honey_higher.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.5130985474934548,
0.000125,0.1067631372549019,honey_higher.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.5130985474934548,
0.1,0.6675537254901961,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.0769230769230769,0.5899403921568628,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.0666666666666666,0.5218737254901961,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.05,0.463641568627451,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.04,0.4050807843137255,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.0333333333333333,0.3804172549019608,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.025,0.3151615686274509,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.02,0.2807121568627451,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.0166666666666666,0.2392580392156862,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.0125,0.2064745098039215,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.01,0.1781850980392157,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.008,0.149873725490196,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.00625,0.1193458823529411,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.005,0.0991874509803921,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.004,0.0806964705882352,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.003125,0.0633223529411764,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.0025,0.0590847058823529,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.002,0.0721215686274509,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.0015625,0.0499560784313725,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.00125,0.0535945098039215,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.001,0.0694494117647058,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.0008,0.0535945098039215,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.000625,0.0468682352941176,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.0005,0.0538776470588235,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.0004,0.0554462745098039,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.0003125,0.0554462745098039,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.00025,0.0590847058823529,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.0002,0.0474188235294117,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.00015625,0.0554462745098039,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.000125,0.0582509803921568,honey_lower.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.010034224077015616,
0.00125,0.7529349019607843,light_lower.zip,light_lower.zip,orange_lower.zip,3.073019918071794,3.055945892898916,3.037980782558177,3.012469118088268,,,,,,,4.269001074445286,3.6880317842526296,3.8690791134061597,3.907547519573441,3.3748806842348342,3.325258001646273,3.2576509905755593,3.2199315711668306,3.6935701563328194,3.742166947292782,3.8111125390118272,3.801877969534518,1.0,3.794444384995747
0.001,0.6680603921568627,light_lower.zip,light_lower.zip,orange_lower.zip,3.073019918071794,3.055945892898916,3.037980782558177,3.012469118088268,,,,,,,4.269001074445286,3.6880317842526296,3.8690791134061597,3.907547519573441,3.3748806842348342,3.325258001646273,3.2576509905755593,3.2199315711668306,3.6935701563328194,3.742166947292782,3.8111125390118272,3.801877969534518,1.0,3.794444384995747
0.0008,0.5946517647058824,light_lower.zip,light_lower.zip,orange_lower.zip,3.073019918071794,3.055945892898916,3.037980782558177,3.012469118088268,,,,,,,4.269001074445286,3.6880317842526296,3.8690791134061597,3.907547519573441,3.3748806842348342,3.325258001646273,3.2576509905755593,3.2199315711668306,3.6935701563328194,3.742166947292782,3.8111125390118272,3.801877969534518,1.0,3.794444384995747
0.000625,0.5246298039215685,light_lower.zip,light_lower.zip,orange_lower.zip,3.073019918071794,3.055945892898916,3.037980782558177,3.012469118088268,,,,,,,4.269001074445286,3.6880317842526296,3.8690791134061597,3.907547519573441,3.3748806842348342,3.325258001646273,3.2576509905755593,3.2199315711668306,3.6935701563328194,3.742166947292782,3.8111125390118272,3.801877969534518,1.0,3.794444384995747
0.0005,0.4669231372549019,light_lower.zip,light_lower.zip,orange_lower.zip,3.073019918071794,3.055945892898916,3.037980782558177,3.012469118088268,,,,,,,4.269001074445286,3.6880317842526296,3.8690791134061597,3.907547519573441,3.3748806842348342,3.325258001646273,3.2576509905755593,3.2199315711668306,3.6935701563328194,3.742166947292782,3.8111125390118272,3.801877969534518,1.0,3.794444384995747
0.0004,0.4151090196078432,light_lower.zip,light_lower.zip,orange_lower.zip,3.073019918071794,3.055945892898916,3.037980782558177,3.012469118088268,,,,,,,4.269001074445286,3.6880317842526296,3.8690791134061597,3.907547519573441,3.3748806842348342,3.325258001646273,3.2576509905755593,3.2199315711668306,3.6935701563328194,3.742166947292782,3.8111125390118272,3.801877969534518,1.0,3.794444384995747
0.0003125,0.3641443137254901,light_lower.zip,light_lower.zip,orange_lower.zip,3.073019918071794,3.055945892898916,3.037980782558177,3.012469118088268,,,,,,,4.269001074445286,3.6880317842526296,3.8690791134061597,3.907547519573441,3.3748806842348342,3.325258001646273,3.2576509905755593,3.2199315711668306,3.6935701563328194,3.742166947292782,3.8111125390118272,3.801877969534518,1.0,3.794444384995747
0.00025,0.3198745098039215,light_lower.zip,light_lower.zip,orange_lower.zip,3.073019918071794,3.055945892898916,3.037980782558177,3.012469118088268,,,,,,,4.269001074445286,3.6880317842526296,3.8690791134061597,3.907547519573441,3.3748806842348342,3.325258001646273,3.2576509905755593,3.2199315711668306,3.6935701563328194,3.742166947292782,3.8111125390118272,3.801877969534518,1.0,3.794444384995747
0.0002,0.2826250980392156,light_lower.zip,light_lower.zip,orange_lower.zip,3.073019918071794,3.055945892898916,3.037980782558177,3.012469118088268,,,,,,,4.269001074445286,3.6880317842526296,3.8690791134061597,3.907547519573441,3.3748806842348342,3.325258001646273,3.2576509905755593,3.2199315711668306,3.6935701563328194,3.742166947292782,3.8111125390118272,3.801877969534518,1.0,3.794444384995747
0.00015625,0.2462141176470588,light_lower.zip,light_lower.zip,orange_lower.zip,3.073019918071794,3.055945892898916,3.037980782558177,3.012469118088268,,,,,,,4.269001074445286,3.6880317842526296,3.8690791134061597,3.907547519573441,3.3748806842348342,3.325258001646273,3.2576509905755593,3.2199315711668306,3.6935701563328194,3.742166947292782,3.8111125390118272,3.801877969534518,1.0,3.794444384995747
0.000125,0.2114972549019607,light_lower.zip,light_lower.zip,orange_lower.zip,3.073019918071794,3.055945892898916,3.037980782558177,3.012469118088268,,,,,,,4.269001074445286,3.6880317842526296,3.8690791134061597,3.907547519573441,3.3748806842348342,3.325258001646273,3.2576509905755593,3.2199315711668306,3.6935701563328194,3.742166947292782,3.8111125390118272,3.801877969534518,1.0,3.794444384995747
0.000125,0.0376047058823529,light_lower_filmed.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.1262617265308249,
0.00015625,0.0440023529411764,light_lower_filmed.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.1262617265308249,
0.0002,0.0557670588235294,light_lower_filmed.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.1262617265308249,
0.00025,0.0652933333333333,light_lower_filmed.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.1262617265308249,
0.0003125,0.0812831372549019,light_lower_filmed.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.1262617265308249,
0.0004,0.0966815686274509,light_lower_filmed.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.1262617265308249,
0.0005,0.1227325490196078,light_lower_filmed.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.1262617265308249,
0.000625,0.1442909803921568,light_lower_filmed.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.1262617265308249,
0.0008,0.1703419607843137,light_lower_filmed.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.1262617265308249,
0.001,0.2005929411764706,light_lower_filmed.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.1262617265308249,
0.00125,0.2330980392156862,light_lower_filmed.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.1262617265308249,
0.0015625,0.269241568627451,light_lower_filmed.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.1262617265308249,
0.002,0.3098572549019607,light_lower_filmed.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.1262617265308249,
0.0025,0.3549545098039215,light_lower_filmed.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.1262617265308249,
0.003125,0.4065011764705882,light_lower_filmed.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.1262617265308249,
0.004,0.4586094117647059,light_lower_filmed.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.1262617265308249,
0.005,0.5233098039215686,light_lower_filmed.zip,light_lower.zip,orange_lower.zip,,,,,,,,,,,,,,,,,,,,,,,0.1262617265308249,
